
RUN = 351
subRunNo MAX = 1033
L1 count MAX = 330
TOTAL ENTRIES = 25448176
1056 18 0
1079 41 0
1095 57 0
1099 61 0
1148 110 0
1156 118 0
1235 197 0
1279 241 0
1281 243 0
1321 283 0
1363 325 0
1415 377 0
1445 407 0
1451 413 0
1468 430 0
1499 461 0
1533 495 0
1540 502 0
1576 538 0
1587 549 0
1599 561 0
1619 581 0
1649 611 0
1670 632 0
1705 667 0
1711 673 0
1729 691 0
1756 718 0
1769 731 0
1786 748 0
1788 750 0
1799 761 0
1808 770 0
1818 780 0
1848 810 0
1962 924 0
1973 935 0
1994 956 0
1998 960 0
2002 964 0
2034 996 0
2093 18 1
2116 41 1
2132 57 1
2136 61 1
2185 110 1
2193 118 1
2214 139 1
2272 197 1
2316 241 1
2318 243 1
2358 283 1
2400 325 1
2482 407 1
2488 413 1
2505 430 1
2536 461 1
2570 495 1
2577 502 1
2613 538 1
2624 549 1
2636 561 1
2656 581 1
2686 611 1
2707 632 1
2742 667 1
2748 673 1
2766 691 1
2793 718 1
2806 731 1
2823 748 1
2825 750 1
2836 761 1
2845 770 1
2855 780 1
2999 924 1
3010 935 1
3031 956 1
3035 960 1
3039 964 1
3130 18 2
3153 41 2
3169 57 2
3173 61 2
3222 110 2
3230 118 2
3251 139 2
3309 197 2
3353 241 2
3355 243 2
3395 283 2
3437 325 2
3519 407 2
3525 413 2
3542 430 2
3573 461 2
3607 495 2
3614 502 2
3650 538 2
3661 549 2
3673 561 2
3693 581 2
3723 611 2
3744 632 2
3779 667 2
3785 673 2
3803 691 2
3830 718 2
3843 731 2
3860 748 2
3862 750 2
3873 761 2
3882 770 2
3892 780 2
4036 924 2
4047 935 2
4068 956 2
4072 960 2
4076 964 2
4167 18 3
4190 41 3
4206 57 3
4210 61 3
4259 110 3
4267 118 3
4346 197 3
4390 241 3
4392 243 3
4432 283 3
4474 325 3
4526 377 3
4556 407 3
4562 413 3
4579 430 3
4610 461 3
4644 495 3
4651 502 3
4687 538 3
4698 549 3
4710 561 3
4730 581 3
4760 611 3
4781 632 3
4816 667 3
4822 673 3
4840 691 3
4867 718 3
4880 731 3
4897 748 3
4899 750 3
4910 761 3
4919 770 3
4929 780 3
5084 935 3
5105 956 3
5109 960 3
5113 964 3
5145 996 3
5204 18 4
5227 41 4
5243 57 4
5247 61 4
5296 110 4
5304 118 4
5325 139 4
5334 148 4
5383 197 4
5427 241 4
5429 243 4
5446 260 4
5469 283 4
5511 325 4
5563 377 4
5593 407 4
5599 413 4
5616 430 4
5647 461 4
5681 495 4
5688 502 4
5724 538 4
5735 549 4
5747 561 4
5767 581 4
5797 611 4
5818 632 4
5853 667 4
5859 673 4
5877 691 4
5904 718 4
5917 731 4
5934 748 4
5936 750 4
5947 761 4
5956 770 4
5966 780 4
5996 810 4
6094 908 4
6121 935 4
6142 956 4
6146 960 4
6150 964 4
6182 996 4
6241 18 5
6264 41 5
6280 57 5
6284 61 5
6333 110 5
6341 118 5
6362 139 5
6371 148 5
6420 197 5
6464 241 5
6466 243 5
6483 260 5
6506 283 5
6548 325 5
6600 377 5
6630 407 5
6636 413 5
6653 430 5
6684 461 5
6718 495 5
6725 502 5
6761 538 5
6772 549 5
6784 561 5
6804 581 5
6834 611 5
6855 632 5
6890 667 5
6896 673 5
6914 691 5
6941 718 5
6954 731 5
6971 748 5
6973 750 5
6984 761 5
6993 770 5
7003 780 5
7131 908 5
7158 935 5
7179 956 5
7183 960 5
7187 964 5
7278 18 6
7301 41 6
7317 57 6
7321 61 6
7370 110 6
7378 118 6
7399 139 6
7408 148 6
7457 197 6
7501 241 6
7503 243 6
7520 260 6
7543 283 6
7585 325 6
7667 407 6
7673 413 6
7690 430 6
7721 461 6
7755 495 6
7762 502 6
7798 538 6
7809 549 6
7821 561 6
7841 581 6
7871 611 6
7892 632 6
7927 667 6
7933 673 6
7951 691 6
7978 718 6
7991 731 6
8008 748 6
8010 750 6
8021 761 6
8030 770 6
8040 780 6
8070 810 6
8168 908 6
8195 935 6
8216 956 6
8220 960 6
8224 964 6
8256 996 6
8315 18 7
8338 41 7
8354 57 7
8358 61 7
8407 110 7
8415 118 7
8445 148 7
8494 197 7
8538 241 7
8540 243 7
8557 260 7
8580 283 7
8622 325 7
8704 407 7
8710 413 7
8727 430 7
8758 461 7
8792 495 7
8799 502 7
8835 538 7
8846 549 7
8858 561 7
8878 581 7
8908 611 7
8929 632 7
8964 667 7
8970 673 7
8988 691 7
9015 718 7
9028 731 7
9045 748 7
9047 750 7
9058 761 7
