1100000000000000000000000000000000000011000111110100100110100010  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000003 HitCount: 1F LOCAL L1 TIMESTAMP: 49A2; Diff w.r.t. previous L1_TS: 117.812500 us
0000110011110110010000111110110100000000011100111001000101100000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1461 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 61 tacID: 2 Tcoarse: 43ED Ecoarse: 007 Tfine: 0228 Efine: 352 
0000110000111010010000111110110100000000011100101110110101111100  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1461 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 14 tacID: 2 Tcoarse: 43ED Ecoarse: 007 Tfine: 0187 Efine: 380 
0000110000011000010000111110111100000000100101001100010110011110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1459 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 6 tacID: 0 Tcoarse: 43EF Ecoarse: 009 Tfine: 0305 Efine: 414 
0000110011101111010000111110111000000000011101000111000110110110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1460 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 59 tacID: 3 Tcoarse: 43EE Ecoarse: 007 Tfine: 0284 Efine: 438 
0000110000100110010000111101110100111111011100110000110111001011  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1477 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 9 tacID: 2 Tcoarse: 43DD Ecoarse: 3F7 Tfine: 0195 Efine: 459 
0000110010000100010000111101110100111111011100111010000111011111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1477 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 33 tacID: 0 Tcoarse: 43DD Ecoarse: 3F7 Tfine: 0232 Efine: 479 
0000110011101001010000111110110100000000011100110010100111010110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1461 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 58 tacID: 1 Tcoarse: 43ED Ecoarse: 007 Tfine: 0202 Efine: 470 
0000110000000101010000111110110100000000011101000111100111011001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1461 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 1 tacID: 1 Tcoarse: 43ED Ecoarse: 007 Tfine: 0286 Efine: 473 
0000110000110000010000111110111100000000100100110111010111011111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1459 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 12 tacID: 0 Tcoarse: 43EF Ecoarse: 009 Tfine: 0221 Efine: 479 
0000110001001110010000111111000000000000101001000110110111010111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1458 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 19 tacID: 2 Tcoarse: 43F0 Ecoarse: 00A Tfine: 0283 Efine: 471 
0000110011111011010000111110110100000000011100101011010111011111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1461 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 62 tacID: 3 Tcoarse: 43ED Ecoarse: 007 Tfine: 0173 Efine: 479 
0000110000001011010000111110111000000000100001000010010111010000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1460 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 2 tacID: 3 Tcoarse: 43EE Ecoarse: 008 Tfine: 0265 Efine: 464 
0000110000111101010000111110111100000000100100110101110111011101  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1459 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 15 tacID: 1 Tcoarse: 43EF Ecoarse: 009 Tfine: 0215 Efine: 477 
0000110001011111010000111111000100000000101100110111100111010001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1457 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 23 tacID: 3 Tcoarse: 43F1 Ecoarse: 00B Tfine: 0222 Efine: 465 
0000110000000010010000111110111000000000100000111010110111101110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1460 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 0 tacID: 2 Tcoarse: 43EE Ecoarse: 008 Tfine: 0235 Efine: 494 
0000110000011101010000111110111100000000100101000101010111110001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1459 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 7 tacID: 1 Tcoarse: 43EF Ecoarse: 009 Tfine: 0277 Efine: 497 
0000110001111011010001000010101000000100010000110111011111110000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1400 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 30 tacID: 3 Tcoarse: 442A Ecoarse: 044 Tfine: 0221 Efine: 1008 
0000110001001000010001000010100100000100001100111000000100011110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1401 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 18 tacID: 0 Tcoarse: 4429 Ecoarse: 043 Tfine: 0224 Efine: 286 
0000110010000001010001000010110000000100011001001000110011011001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1398 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 32 tacID: 1 Tcoarse: 442C Ecoarse: 046 Tfine: 0291 Efine: 217 
0001010001111100010001000010011000000100000001000001110101111001  DATA   : TIGER: 2 L1_TS - TIGERCOARSE_TS: 1404 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 31 tacID: 0 Tcoarse: 4426 Ecoarse: 040 Tfine: 0263 Efine: 377 
0001010001100110010001000011000000000100101000111100110110000101  DATA   : TIGER: 2 L1_TS - TIGERCOARSE_TS: 1394 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 25 tacID: 2 Tcoarse: 4430 Ecoarse: 04A Tfine: 0243 Efine: 389 
0001010000111110010001000011001000000100110000110011010110000011  DATA   : TIGER: 2 L1_TS - TIGERCOARSE_TS: 1392 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 15 tacID: 2 Tcoarse: 4432 Ecoarse: 04C Tfine: 0205 Efine: 387 
0001010001110111010001000010011100000100000100101111110110111100  DATA   : TIGER: 2 L1_TS - TIGERCOARSE_TS: 1403 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 29 tacID: 3 Tcoarse: 4427 Ecoarse: 041 Tfine: 0191 Efine: 444 
0011010010100110010000111110101000000000010001000011110111001000  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1464 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 41 tacID: 2 Tcoarse: 43EA Ecoarse: 004 Tfine: 0271 Efine: 456 
0011010001010101010000111110100100000000001100101011001000110100  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1465 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 21 tacID: 1 Tcoarse: 43E9 Ecoarse: 003 Tfine: 0172 Efine: 564 
0011010010111100010000111110101100000000010101000100000110100100  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1463 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 47 tacID: 0 Tcoarse: 43EB Ecoarse: 005 Tfine: 0272 Efine: 420 
0011010000100010010000111110101100000000010100110000000111001111  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1463 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 8 tacID: 2 Tcoarse: 43EB Ecoarse: 005 Tfine: 0192 Efine: 463 
0011110011100011010001000011000000000100101000111001110101101010  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 1394 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 56 tacID: 3 Tcoarse: 4430 Ecoarse: 04A Tfine: 0231 Efine: 362 
0011110001000011010001000010110100000100011100110001101111110000  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 1397 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 16 tacID: 3 Tcoarse: 442D Ecoarse: 047 Tfine: 0198 Efine: 1008 
0011110001110011010001000010110000000100011000101100001111110000  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 1398 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 28 tacID: 3 Tcoarse: 442C Ecoarse: 046 Tfine: 0176 Efine: 1008 
0011110011001111010001000010110100000100011100100011100100000001  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 1397 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID [base10]: 51 tacID: 3 Tcoarse: 442D Ecoarse: 047 Tfine: 0142 Efine: 257 
1110000000000011110001110100000000011011000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 001E3A: GEMROC_ID: 00 TIGER_ID: 3 LOCAL L1 COUNT[2:0]: 3 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100000000000000000000000000010100000000000000000000000000011  UDP_SEQNO: GEMROC_ID: 00 UDP_SEQNO_U48: 000000000003  STATUS BIT[5:3]:4

