1100000000000000000000000000000000000110000010100101000111011001  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000006 HitCount: 0A LOCAL L1 TIMESTAMP: 51D9; Diff w.r.t. previous L1_TS: 130.956250 us
0000111011010011010011000110000000000111101000101110110100101011  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1401 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 52 tacID: 3 Tcoarse: 4C60 Ecoarse: 07A Tfine: 0187 Efine: 299 
0000111011001001010011000110010000000111111001000000000100001000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1397 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 50 tacID: 1 Tcoarse: 4C64 Ecoarse: 07E Tfine: 0256 Efine: 264 
0000111011101011010011000110000100000111101101000001110101110001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1400 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 58 tacID: 3 Tcoarse: 4C61 Ecoarse: 07B Tfine: 0263 Efine: 369 
0000111011100011010011000110011000001000000000100110000010011111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1395 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 56 tacID: 3 Tcoarse: 4C66 Ecoarse: 080 Tfine: 0152 Efine: 159 
0001011000110000010011000100100000000110001000111110001000001111  DATA   : TIGER: 2 L1_TS - TIGERCOARSE_TS: 1425 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 12 tacID: 0 Tcoarse: 4C48 Ecoarse: 062 Tfine: 0248 Efine: 527 
0011011000001110010011000110010000000111111000110001100101101010  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1397 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 3 tacID: 2 Tcoarse: 4C64 Ecoarse: 07E Tfine: 0198 Efine: 362 
0011011010001000010011000110111100001000100100111001000101110100  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1386 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 34 tacID: 0 Tcoarse: 4C6F Ecoarse: 089 Tfine: 0228 Efine: 372 
0011011000110101010011000101100100000111001100101101110100001111  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1408 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 13 tacID: 1 Tcoarse: 4C59 Ecoarse: 073 Tfine: 0183 Efine: 271 
0011011000011111010011000110001000000111110000111011110101000101  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1399 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 7 tacID: 3 Tcoarse: 4C62 Ecoarse: 07C Tfine: 0239 Efine: 325 
0011011010000000010011000110011100001000000101001000100101110010  DATA   : TIGER: 6 L1_TS - TIGERCOARSE_TS: 1394 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 32 tacID: 0 Tcoarse: 4C67 Ecoarse: 081 Tfine: 0290 Efine: 370 
1110000000010011001011100110010100110110000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 009973: GEMROC_ID: 05 TIGER_ID: 6 LOCAL L1 COUNT[2:0]: 6 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100001010000000000000000000010100000000000000000000000000110  UDP_SEQNO: GEMROC_ID: 05 UDP_SEQNO_U48: 000000000006  STATUS BIT[5:3]:4

