1100000000000000000000000000000000000110000111010101000111011001  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000006 HitCount: 1D LOCAL L1 TIMESTAMP: 51D9; Diff w.r.t. previous L1_TS: 130.956250 us
0010100101000000101011101111001100110000110101000010011000010110  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23834 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 16 tacID: 0 Tcoarse: AEF3 Ecoarse: 30D Tfine: 0265 Efine: 534 
0010100101011001101011101111001100110000110101001101011000111000  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23834 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 22 tacID: 1 Tcoarse: AEF3 Ecoarse: 30D Tfine: 0309 Efine: 568 
0010100100010011101011101011011100101101000101000000010111101111  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23774 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 4 tacID: 3 Tcoarse: AEB7 Ecoarse: 2D1 Tfine: 0257 Efine: 495 
0010100100010010101011100111100100101001001100101111110111100011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23712 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 4 tacID: 2 Tcoarse: AE79 Ecoarse: 293 Tfine: 0191 Efine: 483 
0010100101001111101011101011001000101100110000111101001111110000  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23769 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 19 tacID: 3 Tcoarse: AEB2 Ecoarse: 2CC Tfine: 0244 Efine: 1008 
0010100111101101101011101010000100101011101101001000010111110110  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23752 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 59 tacID: 1 Tcoarse: AEA1 Ecoarse: 2BB Tfine: 0289 Efine: 502 
0010100100100000101011101011000100101100101101001001110111110101  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23768 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 8 tacID: 0 Tcoarse: AEB1 Ecoarse: 2CB Tfine: 0295 Efine: 501 
0010100100111010101011101011011000101101000000111000011000001100  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23773 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 14 tacID: 2 Tcoarse: AEB6 Ecoarse: 2D0 Tfine: 0225 Efine: 524 
0010100100000000101011101011011100101101000101000111111000001101  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23774 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 0 tacID: 0 Tcoarse: AEB7 Ecoarse: 2D1 Tfine: 0287 Efine: 525 
0010100111110001101011101010001000101011110001000100101000001001  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23753 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 60 tacID: 1 Tcoarse: AEA2 Ecoarse: 2BC Tfine: 0274 Efine: 521 
0010100111011100101011101000101000101010010001001101110111010000  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23729 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 55 tacID: 0 Tcoarse: AE8A Ecoarse: 2A4 Tfine: 0311 Efine: 464 
0010100100110000101011101011010000101100111001000101001000010011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23771 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 12 tacID: 0 Tcoarse: AEB4 Ecoarse: 2CE Tfine: 0276 Efine: 531 
0010100111101001101011101011100000101101001000111101111000110011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23775 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 58 tacID: 1 Tcoarse: AEB8 Ecoarse: 2D2 Tfine: 0247 Efine: 563 
0010100110110000101011101011011100101101000101001110101001001111  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23774 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 44 tacID: 0 Tcoarse: AEB7 Ecoarse: 2D1 Tfine: 0314 Efine: 591 
0010100111010011101011100111101000101001010000100110111000110100  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23713 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 52 tacID: 3 Tcoarse: AE7A Ecoarse: 294 Tfine: 0155 Efine: 564 
0010100100111101101011101011010000101100111000111010110110001001  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23771 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 15 tacID: 1 Tcoarse: AEB4 Ecoarse: 2CE Tfine: 0235 Efine: 393 
0010100101011100101011101111000000110000101001000111111000000111  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23831 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 23 tacID: 0 Tcoarse: AEF0 Ecoarse: 30A Tfine: 0287 Efine: 519 
0010100100110010101011110001101000110011010001000111011000011011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 12 tacID: 2 Tcoarse: AF1A Ecoarse: 334 Tfine: 0285 Efine: 539 
0010100111010000101011110001101000110011010000110001001000101010  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 52 tacID: 0 Tcoarse: AF1A Ecoarse: 334 Tfine: 0196 Efine: 554 
0010100111101011101011110001101000110011010000110000111000101010  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 58 tacID: 3 Tcoarse: AF1A Ecoarse: 334 Tfine: 0195 Efine: 554 
0010100111000111101011110001101000110011010001001101010111100011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 49 tacID: 3 Tcoarse: AF1A Ecoarse: 334 Tfine: 0309 Efine: 483 
0010100110100011101011110001101000110011010001000101001000010011  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 40 tacID: 3 Tcoarse: AF1A Ecoarse: 334 Tfine: 0276 Efine: 531 
0010100100001110101011110001101100110011010100111100000111100001  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23874 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 3 tacID: 2 Tcoarse: AF1B Ecoarse: 335 Tfine: 0240 Efine: 481 
0010100110010110101011110001001000110010110001000010111000111111  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23865 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 37 tacID: 2 Tcoarse: AF12 Ecoarse: 32C Tfine: 0267 Efine: 575 
0010100101010011101011110001101100110011010101000011001000011010  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23874 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 20 tacID: 3 Tcoarse: AF1B Ecoarse: 335 Tfine: 0268 Efine: 538 
0010100110010011101011110001101100110011010100110001101000111101  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23874 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 36 tacID: 3 Tcoarse: AF1B Ecoarse: 335 Tfine: 0198 Efine: 573 
0010100100101110101011110001101100110011010101000000111000111110  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23874 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 11 tacID: 2 Tcoarse: AF1B Ecoarse: 335 Tfine: 0259 Efine: 574 
0010100111011101101011110001101000110011010000110100000111010100  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 55 tacID: 1 Tcoarse: AF1A Ecoarse: 334 Tfine: 0208 Efine: 468 
0010100100111000101011110001101000110011010000111000001000001001  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23873 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 14 tacID: 0 Tcoarse: AF1A Ecoarse: 334 Tfine: 0224 Efine: 521 
1110000000001010110110110000100000111101000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 0056D8: GEMROC_ID: 08 TIGER_ID: 7 LOCAL L1 COUNT[2:0]: 5 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100010000000000000000000000010100000000000000000000000000110  UDP_SEQNO: GEMROC_ID: 08 UDP_SEQNO_U48: 000000000006  STATUS BIT[5:3]:4

