1100000000000000000000000000000000000100001000111101000001000010  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000004 HitCount: 23 LOCAL L1 TIMESTAMP: D042; Diff w.r.t. previous L1_TS: 333.212500 us
0000101101010001110010100011000100100100101101000000000111100001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1553 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 20 tacID: 1 Tcoarse: CA31 Ecoarse: 24B Tfine: 0256 Efine: 481 
0000101111000100110010100011110100100101011100110011100111110101  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1541 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 49 tacID: 0 Tcoarse: CA3D Ecoarse: 257 Tfine: 0206 Efine: 501 
0000101101011001110010100100101000100110010000111110100111100100  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1528 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 22 tacID: 1 Tcoarse: CA4A Ecoarse: 264 Tfine: 0250 Efine: 484 
0000101110101000110010100011000000100100101001010101011000000010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1554 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 42 tacID: 0 Tcoarse: CA30 Ecoarse: 24A Tfine: 0341 Efine: 514 
0000101101101011110010101101010000101110111000110101110110000110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1390 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 26 tacID: 3 Tcoarse: CAD4 Ecoarse: 2EE Tfine: 0215 Efine: 390 
0000101111110001110010101100110100101110011100110011110110001001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1397 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 60 tacID: 1 Tcoarse: CACD Ecoarse: 2E7 Tfine: 0207 Efine: 393 
0000101100111110110010101100010000101101111001000111110111100001  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1406 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 15 tacID: 2 Tcoarse: CAC4 Ecoarse: 2DE Tfine: 0287 Efine: 481 
0000101110100010110010100011000000100100101001000000010111001111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1554 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 40 tacID: 2 Tcoarse: CA30 Ecoarse: 24A Tfine: 0257 Efine: 463 
0000101100100010110010100011111000100101100000111100010110110110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1540 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 8 tacID: 2 Tcoarse: CA3E Ecoarse: 258 Tfine: 0241 Efine: 438 
0000001101010110110010100100000100100101101001010101011000100100  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1537 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 21 tacID: 2 Tcoarse: CA41 Ecoarse: 25A Tfine: 0341 Efine: 548 
0000101101001111110010100011110100100101011101011001000110100010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1541 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 19 tacID: 3 Tcoarse: CA3D Ecoarse: 257 Tfine: 0356 Efine: 418 
0000101101101100110010100011001100100100110100110010000110100110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1551 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 27 tacID: 0 Tcoarse: CA33 Ecoarse: 24D Tfine: 0200 Efine: 422 
0000101110010010110010100010111000100100100000101111110110111100  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1556 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 36 tacID: 2 Tcoarse: CA2E Ecoarse: 248 Tfine: 0191 Efine: 444 
0000101110111010110010100011110000100101011000111000100111001000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1542 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 46 tacID: 2 Tcoarse: CA3C Ecoarse: 256 Tfine: 0226 Efine: 456 
0000101111011101110010100011110000100101011001000111110111001010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1542 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 55 tacID: 1 Tcoarse: CA3C Ecoarse: 256 Tfine: 0287 Efine: 458 
0000101100110001110010100101000000100110101000101111010111010110  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1522 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 12 tacID: 1 Tcoarse: CA50 Ecoarse: 26A Tfine: 0189 Efine: 470 
0000101101001000110010100100000000100101101001001001000111100011  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1538 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 18 tacID: 0 Tcoarse: CA40 Ecoarse: 25A Tfine: 0292 Efine: 483 
0000101101110011110010100011110100100101011100110001010110001111  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1541 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 28 tacID: 3 Tcoarse: CA3D Ecoarse: 257 Tfine: 0197 Efine: 399 
0000101110010101110010100011000000100100101000110010000111010010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1554 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 37 tacID: 1 Tcoarse: CA30 Ecoarse: 24A Tfine: 0200 Efine: 466 
0000101110111100110010100011000100100100101100101001110111110010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1553 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 47 tacID: 0 Tcoarse: CA31 Ecoarse: 24B Tfine: 0167 Efine: 498 
0000101111001000110010100011110100100101011101001101000111011010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1541 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 50 tacID: 0 Tcoarse: CA3D Ecoarse: 257 Tfine: 0308 Efine: 474 
0000101111101110110010100011110100100101011100101001110111001101  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1541 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 59 tacID: 2 Tcoarse: CA3D Ecoarse: 257 Tfine: 0167 Efine: 461 
0000101100101100110010100101111000100111100000110011000111011101  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1508 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 11 tacID: 0 Tcoarse: CA5E Ecoarse: 278 Tfine: 0204 Efine: 477 
0000101101000010110010100011110000100101011000111101010111010010  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1542 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 16 tacID: 2 Tcoarse: CA3C Ecoarse: 256 Tfine: 0245 Efine: 466 
0000101110001100110010100100111000100110100000110110001000001000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1524 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 35 tacID: 0 Tcoarse: CA4E Ecoarse: 268 Tfine: 0216 Efine: 520 
0000101110110100110010100011001100100100110101000110110111110011  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1551 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 45 tacID: 0 Tcoarse: CA33 Ecoarse: 24D Tfine: 0283 Efine: 499 
0000101111010110110010100010111000100100100001001101100111011000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1556 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 53 tacID: 2 Tcoarse: CA2E Ecoarse: 248 Tfine: 0310 Efine: 472 
0000101100010011110010100101111000100111100000111001001000000000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1508 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 4 tacID: 3 Tcoarse: CA5E Ecoarse: 278 Tfine: 0228 Efine: 512 
0000101100111011110010101100100100101110001100110101010110001000  DATA   : TIGER: 1 L1_TS - TIGERCOARSE_TS: 1401 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 14 tacID: 3 Tcoarse: CAC9 Ecoarse: 2E3 Tfine: 0213 Efine: 392 
