1100000000000000000000000000000000000111000110011111111001111100  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000007 HitCount: 19 LOCAL L1 TIMESTAMP: FE7C; Diff w.r.t. previous L1_TS: 407.175000 us
0001101100101110111110010011001000010100110000101011010110101001  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1354 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 11 tacID: 2 Tcoarse: F932 Ecoarse: 14C Tfine: 0173 Efine: 425 
0001101110101101111110010010010000010011110101010001110111000111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1368 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 43 tacID: 1 Tcoarse: F924 Ecoarse: 13D Tfine: 0327 Efine: 455 
0001101101010000111110010010000000010011101000110001000110111111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1372 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 20 tacID: 0 Tcoarse: F920 Ecoarse: 13A Tfine: 0196 Efine: 447 
0001101111101001111110010011000100010100101101010000110111010000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1355 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 58 tacID: 1 Tcoarse: F931 Ecoarse: 14B Tfine: 0323 Efine: 464 
0001101101011001111110010010000000010011101001010001100111101100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1372 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 22 tacID: 1 Tcoarse: F920 Ecoarse: 13A Tfine: 0326 Efine: 492 
0001101110111100111110010000111100010010100100110010010111011010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1389 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 47 tacID: 0 Tcoarse: F90F Ecoarse: 129 Tfine: 0201 Efine: 474 
0001101111011000111110010011010100010100111100111010000111110100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1351 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 54 tacID: 0 Tcoarse: F935 Ecoarse: 14F Tfine: 0232 Efine: 500 
0001101100000101111110010001110000010011011000110110101000000001  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1376 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 1 tacID: 1 Tcoarse: F91C Ecoarse: 136 Tfine: 0218 Efine: 513 
0001101100111111111110010010000000010011101000111110001000100111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1372 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 15 tacID: 3 Tcoarse: F920 Ecoarse: 13A Tfine: 0248 Efine: 551 
0001101111010101111110010011011000010101000000110011100110110101  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1350 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 53 tacID: 1 Tcoarse: F936 Ecoarse: 150 Tfine: 0206 Efine: 437 
0001101100010100111110010101100000010111001001001001111000101000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1316 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 5 tacID: 0 Tcoarse: F958 Ecoarse: 172 Tfine: 0295 Efine: 552 
0001101101110100111110010010010100010011111101000000000110101000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1367 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 29 tacID: 0 Tcoarse: F925 Ecoarse: 13F Tfine: 0256 Efine: 424 
0001101110011100111110010010010100010011111100111011110110100001  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1367 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 39 tacID: 0 Tcoarse: F925 Ecoarse: 13F Tfine: 0239 Efine: 417 
0001101110101110111110010101111100010111100101000001110111000100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1309 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 43 tacID: 2 Tcoarse: F95F Ecoarse: 179 Tfine: 0263 Efine: 452 
0001101100100100111110010010010000010011111000111110111000011111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1368 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 9 tacID: 0 Tcoarse: F924 Ecoarse: 13E Tfine: 0251 Efine: 543 
0001101101011100111110010011010000010100111001000100100110001111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1352 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 23 tacID: 0 Tcoarse: F934 Ecoarse: 14E Tfine: 0274 Efine: 399 
0011110101000011100100000110000000000111101000111010010001000010  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 28188 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 16 tacID: 3 Tcoarse: 9060 Ecoarse: 07A Tfine: 0233 Efine: 66 
0011110101010001100100000110000000000111101001001111010011101111  DATA   : TIGER: 7 L1_TS - TIGERCOARSE_TS: 28188 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 20 tacID: 1 Tcoarse: 9060 Ecoarse: 07A Tfine: 0317 Efine: 239 
