
RUN = 341
subRunNo MAX = 383
L1 count MAX = 307
TOTAL ENTRIES = 18992348
EMPTY SUBRUNs = [-1, 0, 8, 53, 56, 92, 137, 205, 263, 335, 340, 352, 372, 381]

GOOD SUBRUNs (357) = [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 264, 265, 266, 267, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 334, 336, 337, 338, 339, 341, 342, 343, 344, 345, 347, 348, 350, 351, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 373, 374, 375, 376, 377, 378, 379, 380]

LOW ENTRIES SUBRUNs = [-1, 0, 8, 18, 25, 53, 56, 71, 85, 92, 137, 164, 205, 225, 251, 263, 268, 296, 333, 335, 340, 346, 349, 352, 372, 381, 382, 383]


TIGER with no hits

subRUN	TIGER
23	28
23	29
23	30
23	31
41	28
41	29
41	30
41	31
80	84
80	85
80	86
80	87
104	60
104	61
104	62
104	63
169	4
169	5
169	6
169	7
207	60
207	61
207	62
207	63
232	4
232	5
232	6
232	7
240	84
240	85
240	86
240	87
248	36
248	37
248	38
248	39
291	28
291	29
291	30
291	31
348	68
348	69
348	70
348	71
362	12
362	13
362	14
362	15
368	28
368	29
368	30
368	31
371	12
371	13
371	14
371	15


FEBs with no hits

subRUN	FEB
23	14
23	15
41	14
41	15
80	42
80	43
104	30
104	31
169	2
169	3
207	30
207	31
232	2
232	3
240	42
240	43
248	18
248	19
291	14
291	15
348	34
348	35
362	6
362	7
368	14
368	15
371	6
371	7


GEMROCs with no hits

GEMROC	FEB


BAD SUBRUNs (low hits) from Decode: [-1, 0, 8, 18, 25, 53, 56, 71, 85, 92, 137, 164, 205, 225, 251, 263, 268, 296, 333, 335, 340, 346, 349, 352, 372, 381, 382, 383]



BAD SUBRUNs (holes) from Decode: [23, 41, 80, 104, 169, 207, 232, 240, 248, 291, 348, 362, 368, 371]

