
RUN = 357
subRunNo MAX = 145
L1 count MAX = 885
TOTAL ENTRIES = 10245413
EMPTY SUBRUNs = [-1, 10, 68, 88, 112]

GOOD SUBRUNs (142) = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145]

LOW ENTRIES SUBRUNs = [-1, 10, 68, 88, 112]


TIGER with no hits

subRUN	TIGER
13	64
13	65
13	66
13	67
13	68
13	69
13	70
13	71
14	64
14	65
14	66
14	67
14	68
14	69
14	70
14	71
27	84
27	85
27	86
27	87
50	28
50	29
50	30
50	31
52	56
52	57
52	58
52	59
52	60
52	61
52	62
52	63
53	56
53	57
53	58
53	59
53	60
53	61
53	62
53	63
54	56
54	57
54	58
54	59
54	60
54	61
54	62
54	63
55	0
55	1
55	5
55	10
55	11
55	15
55	17
55	28
55	29
55	33
55	36
55	38
55	39
55	43
55	50
55	56
55	57
55	58
55	59
55	60
55	61
55	62
55	63
55	64
55	73
55	74
55	76
55	78
55	80
55	82
55	83
56	56
56	57
56	58
56	59
56	60
56	61
56	62
56	63
57	56
57	57
57	58
57	59
57	60
57	61
57	62
57	63
58	56
58	57
58	58
58	59
58	60
58	61
58	62
58	63
59	56
59	57
59	58
59	59
59	60
59	61
59	62
59	63
60	56
60	57
60	58
60	59
60	60
60	61
60	62
60	63
61	56
61	57
61	58
61	59
61	60
61	61
61	62
61	63
62	2
62	3
62	10
62	11
62	12
62	15
62	17
62	18
62	21
62	23
62	25
62	29
62	32
62	33
62	34
62	35
62	40
62	42
62	45
62	50
62	51
62	56
62	57
62	58
62	59
62	60
62	61
62	62
62	63
62	72
62	74
62	75
62	76
62	80
62	81
63	56
63	57
63	58
63	59
63	60
63	61
63	62
63	63
64	56
64	57
64	58
64	59
64	60
64	61
64	62
64	63
65	56
65	57
65	58
65	59
65	60
65	61
65	62
65	63
66	56
66	57
66	58
66	59
66	60
66	61
66	62
66	63
67	56
67	57
67	58
67	59
67	60
67	61
67	62
67	63
67	64
67	65
67	66
67	67
67	68
67	69
67	70
67	71
121	68
121	69
121	70
121	71
122	4
122	10
122	12
122	13
122	14
122	16
122	17
122	18
122	19
122	20
122	26
122	27
122	28
122	34
122	35
122	37
122	38
122	39
122	41
122	44
122	45
122	48
122	52
122	54
122	56
122	57
122	59
122	61
122	62
122	64
122	67
122	68
122	69
122	74
122	76
122	77
122	79
122	80
122	81
122	83
122	84
122	86
122	87


FEBs with no hits

subRUN	FEB
13	32
13	33
13	34
13	35
14	32
14	33
14	34
14	35
27	42
27	43
50	14
50	15
52	28
52	29
52	30
52	31
53	28
53	29
53	30
53	31
54	28
54	29
54	30
54	31
55	0
55	5
55	14
55	19
55	28
55	29
55	30
55	31
55	41
56	28
56	29
56	30
56	31
57	28
57	29
57	30
57	31
58	28
58	29
58	30
58	31
59	28
59	29
59	30
59	31
60	28
60	29
60	30
60	31
61	28
61	29
61	30
61	31
62	1
62	5
62	16
62	17
62	25
62	28
62	29
62	30
62	31
62	37
62	40
63	28
63	29
63	30
63	31
64	28
64	29
64	30
64	31
65	28
65	29
65	30
65	31
66	28
66	29
66	30
66	31
67	28
67	29
67	30
67	31
67	32
67	33
67	34
67	35
121	34
121	35
122	6
122	8
122	9
122	13
122	17
122	19
122	22
122	28
122	34
122	38
122	40
122	43


GEMROCs with no hits

GEMROC	FEB
13	8
14	8
52	7
53	7
54	7
55	7
56	7
57	7
58	7
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	7
67	8


BAD SUBRUNs (low hits) from Decode: [-1, 10, 68, 88, 112]



BAD SUBRUNs (holes) from Decode: [13, 14, 27, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 121, 122]

