
RUN = 418
subRunNo MAX = 110
L1 count MAX = 236
TOTAL ENTRIES = 1183263
EMPTY SUBRUNs = [-1, 1, 2, 3, 4, 5, 6, 8, 12, 17, 24, 26, 27, 43, 48, 62, 63, 64, 65, 73, 81, 87, 91]

GOOD SUBRUNs (89) = [0, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 82, 83, 84, 85, 86, 88, 89, 90, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]

LOW ENTRIES SUBRUNs = [-1, 1, 2, 3, 4, 5, 6, 8, 12, 17, 24, 26, 27, 43, 48, 62, 63, 64, 65, 73, 81, 87, 91]


TIGER with no hits

subRUN	TIGER
7	44
7	75
10	44
10	45
10	58
10	60
10	74
10	75
10	77
10	78
11	40
11	41
11	42
11	43
11	44
11	45
11	46
11	47
23	44
23	63
23	76
25	70
25	71
37	52
37	53
37	54
37	55
47	12
47	13
47	14
47	15
53	16
53	44
53	58
53	59
53	62
53	75
53	76
60	58
75	36
75	37
75	38
75	39
85	8
85	10
85	13
85	16
85	34
85	42
85	43
85	44
85	45
85	57
85	58
85	59
85	60
85	62
85	75
85	76
104	52
104	53
104	54
104	55
104	85
108	58


FEBs with no hits

subRUN	FEB
10	22
10	37
11	20
11	21
11	22
11	23
25	35
37	26
37	27
47	6
47	7
53	29
75	18
75	19
85	21
85	22
85	29
104	26
104	27
104	42


GEMROCs with no hits

GEMROC	FEB
11	5


BAD SUBRUNs (low hits) from Decode: [-1, 1, 2, 3, 4, 5, 6, 8, 12, 17, 24, 26, 27, 43, 48, 62, 63, 64, 65, 73, 81, 87, 91]



BAD SUBRUNs (holes) from Decode: [7, 10, 11, 23, 25, 37, 47, 53, 60, 75, 85, 104, 108]

