
RUN = 397
subRunNo MAX = 232
L1 count MAX = 333
TOTAL ENTRIES = 1357693
EMPTY SUBRUNs = [-1, 0, 26, 40, 55, 67, 72, 73, 98, 99, 141, 168, 169, 171, 172, 177, 192, 199, 208, 226, 227]

GOOD SUBRUNs (198) = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 68, 69, 70, 71, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 142, 143, 144, 145, 146, 147, 149, 150, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 173, 174, 175, 178, 179, 180, 181, 183, 184, 185, 186, 187, 188, 189, 190, 191, 193, 194, 195, 196, 197, 198, 200, 201, 202, 203, 204, 205, 206, 207, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 229, 230, 231, 232]

LOW ENTRIES SUBRUNs = [-1, 0, 16, 23, 26, 29, 31, 40, 55, 64, 67, 72, 73, 98, 99, 120, 141, 148, 151, 165, 166, 167, 168, 169, 170, 171, 172, 176, 177, 182, 192, 199, 208, 226, 227, 228]


TIGER with no hits

subRUN	TIGER
3	58
5	76
5	77
5	78
5	79
9	58
27	58
27	62
30	74
66	58
71	58
82	74
84	62
90	62
90	74
91	58
96	60
100	70
100	71
106	58
110	58
112	60
133	60
135	58
138	58
144	60
145	60
146	70
146	71
147	58
150	54
150	56
150	58
152	74
154	36
154	37
154	38
154	39
155	54
157	60
175	60
175	74
185	62
186	58
191	62
193	56
193	58
193	60
194	56
194	74
196	0
196	1
196	2
196	3
196	4
196	5
196	6
196	7
196	58
196	60
197	0
197	1
197	2
197	3
197	4
197	5
197	6
197	7
198	0
198	1
198	2
198	3
198	4
198	5
198	6
198	7
200	0
200	1
200	2
200	3
200	4
200	5
200	6
200	7
201	0
201	1
201	2
201	3
201	4
201	5
201	6
201	7
202	0
202	1
202	2
202	3
202	4
202	5
202	6
202	7
202	60
203	0
203	1
203	2
203	3
203	4
203	5
203	6
203	7
204	0
204	1
204	2
204	3
204	4
204	5
204	6
204	7
204	84
204	85
204	86
204	87
205	0
205	1
205	2
205	3
205	4
205	5
205	6
205	7
205	12
205	13
205	14
205	15
206	0
206	1
206	2
206	3
206	4
206	5
206	6
206	7
207	0
207	1
207	2
207	3
207	4
207	5
207	6
207	7
209	0
209	1
209	2
209	3
209	4
209	5
209	6
209	7
210	0
210	1
210	2
210	3
210	4
210	5
210	6
210	7
211	0
211	1
211	2
211	3
211	4
211	5
211	6
211	7
212	0
212	1
212	2
212	3
212	4
212	5
212	6
212	7
213	0
213	1
213	2
213	3
213	4
213	5
213	6
213	7
213	76
213	77
213	78
213	79
214	0
214	1
214	2
214	3
214	4
214	5
214	6
214	7
215	0
215	1
215	2
215	3
215	4
215	5
215	6
215	7
216	0
216	1
216	2
216	3
216	4
216	5
216	6
216	7
217	0
217	1
217	2
